Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit (FAO),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"TCL","Cultures et produits animaux","2","Afghanistan","5910","Exportations - Quantité","574","Ananas","2017","2017","tonnes","","","Donnée officielle"
"TCL","Cultures et produits animaux","2","Afghanistan","5910","Exportations - Quantité","569","Figues","2017","2017","tonnes","7","","Donnée officielle"
"TCL","Cultures et produits animaux","2","Afghanistan","5910","Exportations - Quantité","569","Figues","2018","2018","tonnes","9","R","Données estimées en utilisant les données des pays partenaires"
"TCL","Cultures et produits animaux","2","Afghanistan","5910","Exportations - Quantité","569","Figues","2019","2019","tonnes","907","R","Données estimées en utilisant les données des pays partenaires"
"TCL","Cultures et produits animaux","2","Afghanistan","5910","Exportations - Quantité","592","Kiwis","2017","2017","tonnes","","","Donnée officielle"
"TCL","Cultures et produits animaux","2","Afghanistan","5910","Exportations - Quantité","592","Kiwis","2018","2018","tonnes","82","R","Données estimées en utilisant les données des pays partenaires"
"TCL","Cultures et produits animaux","2","Afghanistan","5910","Exportations - Quantité","592","Kiwis","2019","2019","tonnes","41","R","Données estimées en utilisant les données des pays partenaires"
"TCL","Cultures et produits animaux","2","Afghanistan","5910","Exportations - Quantité","568","Melons, cantaloups","2017","2017","tonnes","3029","R","Données estimées en utilisant les données des pays partenaires"
"TCL","Cultures et produits animaux","2","Afghanistan","5910","Exportations - Quantité","568","Melons, cantaloups","2018","2018","tonnes","7767","R","Données estimées en utilisant les données des pays partenaires"
"TCL","Cultures et produits animaux","2","Afghanistan","5910","Exportations - Quantité","568","Melons, cantaloups","2019","2019","tonnes","12677","R","Données estimées en utilisant les données des pays partenaires"
"TCL","Cultures et produits animaux","2","Afghanistan","5910","Exportations - Quantité","567","Pastèques","2017","2017","tonnes","6898","R","Données estimées en utilisant les données des pays partenaires"
"TCL","Cultures et produits animaux","2","Afghanistan","5910","Exportations - Quantité","567","Pastèques","2018","2018","tonnes","11048","R","Données estimées en utilisant les données des pays partenaires"
"TCL","Cultures et produits animaux","2","Afghanistan","5910","Exportations - Quantité","567","Pastèques","2019","2019","tonnes","4981","R","Données estimées en utilisant les données des pays partenaires"
"TCL","Cultures et produits animaux","202","Afrique du Sud","5910","Exportations - Quantité","574","Ananas","2017","2017","tonnes","4748","","Donnée officielle"
"TCL","Cultures et produits animaux","202","Afrique du Sud","5910","Exportations - Quantité","574","Ananas","2018","2018","tonnes","2903","","Donnée officielle"
"TCL","Cultures et produits animaux","202","Afrique du Sud","5910","Exportations - Quantité","574","Ananas","2019","2019","tonnes","3328","","Donnée officielle"
"TCL","Cultures et produits animaux","202","Afrique du Sud","5910","Exportations - Quantité","486","Bananes","2017","2017","tonnes","7182","","Donnée officielle"
"TCL","Cultures et produits animaux","202","Afrique du Sud","5910","Exportations - Quantité","486","Bananes","2018","2018","tonnes","11258","","Donnée officielle"
"TCL","Cultures et produits animaux","202","Afrique du Sud","5910","Exportations - Quantité","486","Bananes","2019","2019","tonnes","12463","","Donnée officielle"
"TCL","Cultures et produits animaux","202","Afrique du Sud","5910","Exportations - Quantité","592","Kiwis","2017","2017","tonnes","522","","Donnée officielle"
"TCL","Cultures et produits animaux","202","Afrique du Sud","5910","Exportations - Quantité","592","Kiwis","2018","2018","tonnes","522","","Donnée officielle"
"TCL","Cultures et produits animaux","202","Afrique du Sud","5910","Exportations - Quantité","592","Kiwis","2019","2019","tonnes","573","","Donnée officielle"
"TCL","Cultures et produits animaux","202","Afrique du Sud","5910","Exportations - Quantité","568","Melons, cantaloups","2017","2017","tonnes","3327","","Donnée officielle"
"TCL","Cultures et produits animaux","202","Afrique du Sud","5910","Exportations - Quantité","568","Melons, cantaloups","2018","2018","tonnes","2505","","Donnée officielle"
"TCL","Cultures et produits animaux","202","Afrique du Sud","5910","Exportations - Quantité","568","Melons, cantaloups","2019","2019","tonnes","2117","","Donnée officielle"
"TCL","Cultures et produits animaux","202","Afrique du Sud","5910","Exportations - Quantité","600","Papayes","2017","2017","tonnes","1277","","Donnée officielle"
"TCL","Cultures et produits animaux","202","Afrique du Sud","5910","Exportations - Quantité","600","Papayes","2018","2018","tonnes","1358","","Donnée officielle"
"TCL","Cultures et produits animaux","202","Afrique du Sud","5910","Exportations - Quantité","600","Papayes","2019","2019","tonnes","1344","","Donnée officielle"
"TCL","Cultures et produits animaux","202","Afrique du Sud","5910","Exportations - Quantité","567","Pastèques","2017","2017","tonnes","2333","","Donnée officielle"
"TCL","Cultures et produits animaux","202","Afrique du Sud","5910","Exportations - Quantité","567","Pastèques","2018","2018","tonnes","2905","","Donnée officielle"
"TCL","Cultures et produits animaux","202","Afrique du Sud","5910","Exportations - Quantité","567","Pastèques","2019","2019","tonnes","4082","","Donnée officielle"
"TCL","Cultures et produits animaux","3","Albanie","5910","Exportations - Quantité","486","Bananes","2017","2017","tonnes","","","Donnée officielle"
"TCL","Cultures et produits animaux","3","Albanie","5910","Exportations - Quantité","569","Figues","2017","2017","tonnes","108","","Donnée officielle"
"TCL","Cultures et produits animaux","3","Albanie","5910","Exportations - Quantité","569","Figues","2018","2018","tonnes","20","","Donnée officielle"
"TCL","Cultures et produits animaux","3","Albanie","5910","Exportations - Quantité","569","Figues","2019","2019","tonnes","115","*","Chiffre non officiel"
"TCL","Cultures et produits animaux","3","Albanie","5910","Exportations - Quantité","592","Kiwis","2017","2017","tonnes","14","","Donnée officielle"
"TCL","Cultures et produits animaux","3","Albanie","5910","Exportations - Quantité","592","Kiwis","2019","2019","tonnes","2","R","Données estimées en utilisant les données des pays partenaires"
"TCL","Cultures et produits animaux","3","Albanie","5910","Exportations - Quantité","568","Melons, cantaloups","2017","2017","tonnes","1189","","Donnée officielle"
"TCL","Cultures et produits animaux","3","Albanie","5910","Exportations - Quantité","568","Melons, cantaloups","2018","2018","tonnes","704","","Donnée officielle"
"TCL","Cultures et produits animaux","3","Albanie","5910","Exportations - Quantité","568","Melons, cantaloups","2019","2019","tonnes","1039","R","Données estimées en utilisant les données des pays partenaires"
"TCL","Cultures et produits animaux","3","Albanie","5910","Exportations - Quantité","567","Pastèques","2017","2017","tonnes","35642","","Donnée officielle"
"TCL","Cultures et produits animaux","3","Albanie","5910","Exportations - Quantité","567","Pastèques","2018","2018","tonnes","18517","","Donnée officielle"
"TCL","Cultures et produits animaux","3","Albanie","5910","Exportations - Quantité","567","Pastèques","2019","2019","tonnes","15476","R","Données estimées en utilisant les données des pays partenaires"
"TCL","Cultures et produits animaux","4","Algérie","5910","Exportations - Quantité","574","Ananas","2019","2019","tonnes","0","*","Chiffre non officiel"
"TCL","Cultures et produits animaux","4","Algérie","5910","Exportations - Quantité","569","Figues","2017","2017","tonnes","8","","Donnée officielle"
"TCL","Cultures et produits animaux","4","Algérie","5910","Exportations - Quantité","569","Figues","2018","2018","tonnes","22","R","Données estimées en utilisant les données des pays partenaires"
"TCL","Cultures et produits animaux","4","Algérie","5910","Exportations - Quantité","569","Figues","2019","2019","tonnes","12","R","Données estimées en utilisant les données des pays partenaires"
"TCL","Cultures et produits animaux","4","Algérie","5910","Exportations - Quantité","592","Kiwis","2018","2018","tonnes","6","R","Données estimées en utilisant les données des pays partenaires"
"TCL","Cultures et produits animaux","4","Algérie","5910","Exportations - Quantité","592","Kiwis","2019","2019","tonnes","35","*","Chiffre non officiel"
"TCL","Cultures et produits animaux","4","Algérie","5910","Exportations - Quantité","568","Melons, cantaloups","2017","2017","tonnes","144","","Donnée officielle"
"TCL","Cultures et produits animaux","4","Algérie","5910","Exportations - Quantité","568","Melons, cantaloups","2018","2018","tonnes","260","R","Données estimées en utilisant les données des pays partenaires"
"TCL","Cultures et produits animaux","4","Algérie","5910","Exportations - Quantité","568","Melons, cantaloups","2019","2019","tonnes","217","R","Données estimées en utilisant les données des pays partenaires"
"TCL","Cultures et produits animaux","4","Algérie","5910","Exportations - Quantité","567","Pastèques","2017","2017","tonnes","135","","Donnée officielle"
