Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit (FAO),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"QCL","Cultures et produits animaux","2","Afghanistan","5510","Production","569","Figues","2017","2017","tonnes","7963","Im","Données de la FAO basées sur une méthodologie d'imputation"
"QCL","Cultures et produits animaux","2","Afghanistan","5510","Production","569","Figues","2018","2018","tonnes","9481","Im","Données de la FAO basées sur une méthodologie d'imputation"
"QCL","Cultures et produits animaux","2","Afghanistan","5510","Production","569","Figues","2019","2019","tonnes","24319","","Donnée officielle"
"QCL","Cultures et produits animaux","2","Afghanistan","5510","Production","568","Melons, cantaloups","2017","2017","tonnes","559477","Im","Données de la FAO basées sur une méthodologie d'imputation"
"QCL","Cultures et produits animaux","2","Afghanistan","5510","Production","568","Melons, cantaloups","2018","2018","tonnes","373538","Im","Données de la FAO basées sur une méthodologie d'imputation"
"QCL","Cultures et produits animaux","2","Afghanistan","5510","Production","568","Melons, cantaloups","2019","2019","tonnes","464230","","Donnée officielle"
"QCL","Cultures et produits animaux","2","Afghanistan","5510","Production","567","Pastèques","2017","2017","tonnes","821975","Im","Données de la FAO basées sur une méthodologie d'imputation"
"QCL","Cultures et produits animaux","2","Afghanistan","5510","Production","567","Pastèques","2018","2018","tonnes","344494","Im","Données de la FAO basées sur une méthodologie d'imputation"
"QCL","Cultures et produits animaux","2","Afghanistan","5510","Production","567","Pastèques","2019","2019","tonnes","846990","","Donnée officielle"
"QCL","Cultures et produits animaux","202","Afrique du Sud","5510","Production","574","Ananas","2017","2017","tonnes","103179","","Donnée officielle"
"QCL","Cultures et produits animaux","202","Afrique du Sud","5510","Production","574","Ananas","2018","2018","tonnes","112412","","Donnée officielle"
"QCL","Cultures et produits animaux","202","Afrique du Sud","5510","Production","574","Ananas","2019","2019","tonnes","115106","","Donnée officielle"
"QCL","Cultures et produits animaux","202","Afrique du Sud","5510","Production","486","Bananes","2017","2017","tonnes","335208","","Donnée officielle"
"QCL","Cultures et produits animaux","202","Afrique du Sud","5510","Production","486","Bananes","2018","2018","tonnes","444879","","Donnée officielle"
"QCL","Cultures et produits animaux","202","Afrique du Sud","5510","Production","486","Bananes","2019","2019","tonnes","405135","","Donnée officielle"
"QCL","Cultures et produits animaux","202","Afrique du Sud","5510","Production","569","Figues","2017","2017","tonnes","2146","","Donnée officielle"
"QCL","Cultures et produits animaux","202","Afrique du Sud","5510","Production","569","Figues","2018","2018","tonnes","2197","","Donnée officielle"
"QCL","Cultures et produits animaux","202","Afrique du Sud","5510","Production","569","Figues","2019","2019","tonnes","1972","","Donnée officielle"
"QCL","Cultures et produits animaux","202","Afrique du Sud","5510","Production","571","Mangues, mangoustans et goyaves","2017","2017","tonnes","90561","","Donnée officielle"
"QCL","Cultures et produits animaux","202","Afrique du Sud","5510","Production","571","Mangues, mangoustans et goyaves","2018","2018","tonnes","91261","","Donnée officielle"
